[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391119823/12/2013 8:05:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385767210/12/2013 7:59:03 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386221209/12/2013 8:27:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1345401905/12/2013 9:23:09 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1374822210/11/2013 12:13:16 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385766717/11/2013 7:57:01 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368086705/12/2013 9:52:16 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385766416/12/2013 7:49:04 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385766310/12/2013 8:10:43 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385766217/11/2013 7:58:41 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1357983410/11/2013 4:23:35 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386220007/12/2013 8:02:17 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393342830/12/2013 8:31:42 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381556105/12/2013 11:54:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385765116/12/2013 7:58:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389974416/12/2013 9:01:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387851713/12/2013 9:04:11 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375605819/12/2013 7:38:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385764405/12/2013 11:13:02 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387851328/11/2013 8:04:16 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1377345205/12/2013 9:24:18 PM

