[04/Mar/2014:00:02:33] (admin) ///// Begin Sync sp_53151819187e8

[04/Mar/2014:00:02:33] (admin) ///// Start Geo Sync sp_53151819187e8

[04/Mar/2014:00:02:33] (admin) Begin GEO Sync

[04/Mar/2014:00:02:33] (admin) Total Geo Records: 4178

[04/Mar/2014:00:02:33] (admin) Begin Geo Sync2141 Url: http://maps.googleapis.com/maps/api/geocode/json?address=37375+CUT+LINE%2C+RR+%233%2C+Central+Huron%2C+Ontario%2C+N0M1L0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:34] (admin) Begin Geo Sync2142 Url: http://maps.googleapis.com/maps/api/geocode/json?address=Lot+11+MACINTYRE+RD%2C+Kawartha+Lakes%2C+Ontario%2C+K0M2B0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:34] (admin) Begin Geo Sync1916 Url: http://maps.googleapis.com/maps/api/geocode/json?address=26+BRIDLEWOOD+CRES%2C+Wasaga+Beach%2C+Ontario%2C+L9Z1B4%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:34] (admin) Begin Geo Sync3041 Url: http://maps.googleapis.com/maps/api/geocode/json?address=%2355+-+121+UNIVERSITY+AVE+E%2C+Waterloo%2C+Ontario%2C+N2J4J1%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:35] (admin) Begin Geo Sync1766 Url: http://maps.googleapis.com/maps/api/geocode/json?address=Lot+%2316+MACINTYRE+RD%2C+Kawartha+Lakes%2C+Ontario%2C+K0M2B0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:36] (admin) Begin Geo Sync1767 Url: http://maps.googleapis.com/maps/api/geocode/json?address=Lot+13+MACINTYRE+RD%2C+Kawartha+Lakes%2C+Ontario%2C+K0M2B0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:36] (admin) Begin Geo Sync2066 Url: http://maps.googleapis.com/maps/api/geocode/json?address=5+GRAND+AVE+W%2C+Chatham-Kent%2C+Ontario%2C+N7L1B4%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:36] (admin) Begin Geo Sync1841 Url: http://maps.googleapis.com/maps/api/geocode/json?address=4509+LONDON+LINE%2C+Plympton-Wyoming%2C+Ontario%2C+N0N1T0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:36] (admin) Begin Geo Sync2067 Url: http://maps.googleapis.com/maps/api/geocode/json?address=126+EMMA+ST%2C+Guelph%2C+Ontario%2C+N1E1V3%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:37] (admin) Begin Geo Sync1991 Url: http://maps.googleapis.com/maps/api/geocode/json?address=72+MAPLEGOVE+VILLAG%2C+Southgate%2C+Ontario%2C+N0C1B0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:37] (admin) Begin Geo Sync2216 Url: http://maps.googleapis.com/maps/api/geocode/json?address=3264+SHELTER+VALLEY+RD%2C+Alnwick%2FHaldimand%2C+Ontario%2C+K0K2G0%2C+&sensor=false&components=country:CA

[04/Mar/2014:00:02:37] (admin) Begin Geo Sync2143 Url: http://maps.googleapis.com/maps/api/geocode/json?address=%231105+-+185+LEGION+RD+N%2C+Toronto%2C+Ontario%2C+M8Y0A1%2C+&sensor=false&components=country:CA

